le Parrain 
L'empire contre attaque 
Star Wars, épisode V: L'Empire contre-attaque 
The Dark Knight 
The Dark Knight 
Empire
Le Parrain 
Star Wars, épisode V: L'Empire contre-attaque
The Dark Knight 
Les évadés
Pulp Fiction
 Les Affranchis
Les Aventuriers de l'arche perdue
Les Dents de la mer 
 Star Wars, épisode IV 
 Le Seigneur des anneaux 
Retour vers le futur
Le Parrain,
 Blade Runner
Alien
Aliens
Le Seigneur des anneaux: Le Retour du roi
Fight Club
Inception
Jurrasic Park
Die Hard, Piège de cristal
2001: l'Odyssée de l'espace
Apocalypse Now
Le Seigneur des anneaux 
Matrix
Terminator 2: Le Jugement dernier
Heat
Le Bon, la Brute et le Truand 
Casablanca
The Big Lebowski
Seven
Taxi Driver
Usual Suspects
La Liste de Schindler 
Les Gardiens de la Galaxie 
Shining
Les Infiltrés
The Thing 
Mad Max: Fury Road
Il faut sauver le soldat Ryan 
12 hommes en colère 
Eternal Sunshine of the Spotless Mind 
There Will Be Blood 
Vol au-dessus d'un nid de coucou 
Gladiator
Drive
 Citizen Kane
 Interstellar
Le Silence des Agneaux 
Trainspotting
Lawrence d'Arabie 
La vie est belle
Il était une fois dans l'Ouest 
 Psychose
Sueurs Froides 
Le Labyrinthe de Pan 
Reservoir Dogs
Whiplash
Inglourious Basterds
E.T. 
 American Beauty 
Forrest Gump
La La Land 
Donnie Darko
 L.A. Confidential 
 Avengers
Star Wars, épisode VI: Le Retour du Jedi 
 Memento
Ghostbusters
Chantons sous la pluie 
 Le Roi Lion
Hot Fuzz
 Fenêtre sur Cour 
 Les Sept Samouraïs 
Mulholland Drive
 Fargo
Orange Mécanique 
Toy Story 
Old Boy 
Captain America: Civil War 
Le Voyage de Chihiro 
The Social Network 
Certains l'aiment chaud 
True Romance 
Rocky
Léon
Indiana Jones et la Dernière Croisade 
 Predator
L'Exorciste
Shaun of the Dead
No Country For Old Men
Le Prestige 
Terminator
Princess Bride 
 Lost in Translation
Premier Contact 
 Will Hunting 
Titanic
Le fabuleux destin d'Amélie Poulain 
Raging Bull 
Stand by me 
